PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
41.99,103.25,11.78,41.0,28.75,22.04,1.06,6.03,40.99,1.16,6.37,1.79,100.0,Satisfactory
26.0,93.08,4.34,21.79,13.84,18.78,0.6,8.13,58.17,0.6,3.36,0.39,101.0,Moderate
56.86,109.0,8.33,44.83,30.9,34.24,0.17,9.29,39.46,0.77,3.64,1.18,102.0,Moderate
52.96,108.3,10.35,34.44,30.89,38.48,0.9,7.58,24.33,0.53,3.21,0.69,129.0,Moderate
44.3,89.26,11.41,34.53,32.21,31.97,0.51,8.18,34.32,0.44,2.87,0.43,110.0,Moderate
40.1,85.11,8.83,32.79,28.28,33.59,0.48,6.71,31.34,0.44,3.01,0.37,99.0,Satisfactory
33.33,76.71,8.73,31.35,28.66,33.19,0.47,7.87,47.78,0.36,2.41,0.33,100.0,Satisfactory
46.08,107.77,9.55,31.1,28.46,29.73,0.49,6.57,40.05,0.55,3.61,0.65,108.0,Moderate
37.28,84.02,4.85,26.57,21.07,23.99,0.43,6.13,52.45,0.25,1.39,0.19,104.0,Moderate
40.37,87.52,5.33,35.95,27.93,30.58,0.71,3.05,34.06,0.46,3.22,0.43,116.0,Moderate
30.1,56.02,6.46,20.72,18.45,44.38,0.38,5.1,49.45,0.25,1.88,0.27,92.0,Satisfactory
29.22,60.54,10.85,29.21,27.98,28.44,0.39,10.13,41.7,0.38,2.1,0.28,67.0,Satisfactory
60.88,66.45,9.09,44.45,33.89,48.05,0.7,1.15,26.27,0.38,1.19,0.18,72.0,Satisfactory
89.48,94.11,18.33,59.85,47.12,59.64,1.08,2.75,34.35,0.5,0.55,0.12,90.0,Satisfactory
40.12,50.94,24.62,35.16,51.79,78.57,1.65,6.65,43.27,0.19,0.98,0.17,156.0,Moderate
50.76,82.05,7.79,33.2,33.14,35.16,1.27,5.84,41.24,0.32,1.79,0.37,167.0,Moderate
30.45,56.0,8.8,44.42,25.36,34.26,1.27,8.4,35.04,0.47,4.37,1.43,105.0,Moderate
60.7,81.89,20.76,51.24,50.0,31.42,1.42,7.73,24.56,0.91,7.68,1.75,105.0,Moderate
51.09,96.09,18.48,46.69,46.61,30.83,1.66,15.51,38.0,0.44,3.58,0.45,135.0,Moderate
45.67,82.71,6.1,38.21,29.19,29.29,0.94,5.84,44.28,0.36,2.87,0.36,110.0,Moderate
46.24,90.98,5.03,35.88,26.3,30.57,0.9,5.23,51.78,0.31,1.96,0.31,110.0,Moderate
31.02,65.19,6.5,25.0,20.89,28.73,0.82,5.39,29.69,0.34,1.9,0.33,95.0,Satisfactory
28.39,73.3,8.82,29.68,25.85,27.59,0.79,4.71,31.52,0.32,2.11,0.38,92.0,Satisfactory
23.03,66.3,7.53,28.72,23.51,31.26,0.69,9.34,22.35,0.29,1.88,0.43,83.0,Satisfactory
29.65,72.39,9.35,28.29,25.18,29.08,0.84,7.27,23.33,0.3,1.97,0.29,84.0,Satisfactory
34.57,68.51,6.07,26.2,22.43,26.92,0.65,6.7,22.0,0.22,1.58,0.19,86.0,Satisfactory
29.56,53.7,8.71,19.21,19.22,39.66,0.6,3.26,32.38,0.18,0.69,0.12,92.0,Satisfactory
32.82,71.8,5.54,16.81,17.74,34.21,0.48,5.56,16.96,0.08,0.5,0.08,105.0,Moderate
34.45,87.0,8.08,22.97,22.12,22.35,0.67,5.71,18.1,0.33,2.46,0.42,93.0,Satisfactory
30.51,66.12,5.61,22.26,19.54,20.06,0.58,5.2,18.19,0.11,0.83,0.1,95.0,Satisfactory
31.95,72.51,9.64,24.79,25.28,20.42,0.63,5.62,20.13,0.15,1.27,0.13,87.0,Satisfactory
48.62,67.89,13.77,23.86,28.59,20.86,0.59,5.85,19.21,0.18,1.96,0.2,104.0,Moderate
42.25,44.45,9.96,22.65,24.95,21.38,0.52,4.88,22.3,0.12,1.08,0.1,147.0,Moderate
26.64,57.84,6.44,19.09,18.62,18.67,0.51,5.22,28.01,0.09,0.68,0.08,85.0,Satisfactory
25.43,63.82,5.24,20.32,17.85,19.2,0.53,6.0,29.17,0.12,0.78,0.09,80.0,Satisfactory
26.04,76.71,5.44,21.04,18.29,18.94,0.57,5.33,27.41,0.28,1.54,0.05,85.0,Satisfactory
